id,fullname,shortname,ttl,region,country,practicearea,productline,netcommitment,status,processingtype,approvalfy,closingfy
P169758,Henan Green Agriculture Fund Project,Henan Green Agriculture Fund Project,"Paavo Eliste, Sitaramachandra Machiraju",East Asia And Pacific,China,Agriculture and Food,,300,Active,,2020,2027
P158372,Agriculture Modernization Project,Agriculture Modernization Project,Sergiy Zorya,Europe And Central Asia,Uzbekistan,Agriculture and Food,,500,Active,,2020,2026
P168153,Market Access for Agricultural Products Project,PIMA,Maurizio Guadagni,Latin America And Caribbean,Paraguay,Agriculture and Food,,100,Active,,2020,2026
P171220,,Improving the EX-ACT tool,Christine Heumesser,Other,World,Agriculture and Food,,null,Closed,,2020,
P170824,On the Menu: Can Food Be the Planetâ€™s Medicine?,On the Menu: Spring Meeting Event,Sanjiva Cooke,Other,World,Agriculture and Food,,null,Closed,,2020,
P159292,Balochistan Livelihoods and Entrepreneurship Project,Balochistan Integrated Livelihoods,Maha Ahmed,South Asia,Pakistan,Agriculture and Food,,35,Active,,2020,2024
P166955,Modernization of the Agriculture Administration in North Macedonia,Review of the Agriculture Administration,Silvia Mauri,Europe And Central Asia,North Macedonia,Agriculture and Food,,null,Closed,,2020,
P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,HP IPSS-CRRA,"Meredith Mercedes Stickler, Andrew Michael Mitchell",South Asia,India,Agriculture and Food,,80,Active,,2020,2025
P164031,Ogun State Economic Transformation Project,OGSTEP,"Elliot Wamboka Mghenyi, Feyifolu Adeyosola Boroffice, Kofi Nouve",Africa,Nigeria,Agriculture and Food,,250,Active,,2020,2025
P161779,Advancing Women’s Enterprises for Economic Impact in the farm/nonfarm value chain and regional trade,SARTFP Advancing Women's Enterprises,Bremala Malli,South Asia,South Asia,Agriculture and Food,,null,Closed,,2020,
P168014,Agriculture Modernization Project,Agriculture Modernization Project,Silvia Mauri,Europe And Central Asia,North Macedonia,Agriculture and Food,,50.5,Active,,2020,2025
P162436,Technology Support to Climate-Smart Agriculture - A case Study of Zambezi River Basin in Mozambique,Technology Support to Climate-Smart Ag,Qun Li,Africa,Mozambique,Agriculture and Food,,null,Closed,,2020,
P164736,TA - Cambodia Agriculture Sector ASA,TA-Cambodia Agriculture Sector ASA,"Mudita Chamroeun, Eli Weiss",East Asia And Pacific,Cambodia,Agriculture and Food,,null,Closed,,2020,
P160352,Supporting Small farmers to adapt to the changes of El Nino on Agriculture Sector in Sindh,El-Nino Effects on Agriculture in Sindh,Mohammad Imtiaz Akhtar Alvi,South Asia,Pakistan,Agriculture and Food,,null,Closed,,2020,
P167950,Re-energizing Agriculture through Solar Power in Rwanda,Agriculture and Solar Energy,"Ghada Elabed, Norah Kipwola",Africa,Rwanda,Agriculture and Food,,null,Closed,,2020,
P168310,State of Maharashtra's Agribusiness and Rural Transformation Project,SMART Project,"Manivannan Pathy, Adarsh Kumar",South Asia,India,Agriculture and Food,,210,Active,,2020,2027
P167956,China/Russia 2030 - Implications for the Horticulture Sector in Central Asia (Phase III),China/Russia 2030,"Kateryna Goychuk Schroeder, Sergiy Zorya",Europe And Central Asia,Central Asia,Agriculture and Food,,null,Closed,,2020,
